asset_id,tail,owner,code,name,description,precision,image_uris,image_hash
"d82dd03f8a9ad2f84353cd953c4de6b21dbaaf7de3ba3f4ddd9abe31ecba80ad","ff02ffff01ff02ffff01ff04ffff04ff04ffff04ff05ffff04ffff02ff06ffff04ff02ffff04ff82027fff80808080ff80808080ffff02ff82027fffff04ff0bffff04ff17ffff04ff2fffff04ff5fffff04ff81bfff82057f80808080808080ffff04ffff01ff31ff02ffff03ffff07ff0580ffff01ff0bffff0102ffff02ff06ffff04ff02ffff04ff09ff80808080ffff02ff06ffff04ff02ffff04ff0dff8080808080ffff01ff0bffff0101ff058080ff0180ff018080ffff04ffff01b0a6b8732ef1fd5f6f9f1afae788e100c0a00a49787f6df440d261778f86943bb20b62dc80a63a45387985917a0e2a4142ff018080","txch1kwh2pxzz3v44um2heual7mhg9cu4phkr8zchmakcacsfg3u8mm6s63zpf3","TDBX","Testnet dexie bucks","Testnet version of dexie bucks",3,"['https://icons-testnet.dexie.space/d82dd03f8a9ad2f84353cd953c4de6b21dbaaf7de3ba3f4ddd9abe31ecba80ad.webp']","c84607c0e4cb4a878cc34ba913c90504ed0aac0f4484c2078529b9e42387da99"
"91bfdb4a750308c25b12d0f787309df590a4cad80e7466accdd99b1d1759d9e4","ff02ffff01ff02ffff01ff02ff3effff04ff02ffff04ff0bffff04ff8213ffffff04ff17ffff04ff05ffff04ff824bffffff04ff83016bffffff04ff8300abffffff04ff8302ebffffff04ff8305ebffffff04ff830bebffffff04ff8317ebffffff04ff832febffffff04ff835febffffff04ff825bffffff04ff83017bffffff04ff8300bbffffff04ff8202ffffff04ff2fffff04ff8302fbffff80808080808080808080808080808080808080808080ffff04ffff01ffffffff02ffff03ffff07ff0580ffff01ff0bffff0102ffff02ff10ffff04ff02ffff04ff09ff80808080ffff02ff10ffff04ff02ffff04ff0dff8080808080ffff01ff0bffff0101ff058080ff0180ff0bffff0102ffff0bffff0102ffff06ffff05ffff01ffffa04bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459aa09dcf97a184f32623d11a73124ceb99a5709b083721e878a16d78f596718ba7b2ffa102a12871fee210fb8619291eaea194581cbd2531e4b23759d225f6806923f63222a102a8d5dd63fba471ebcb1f3e8f7c1e1879b7152a6e7298a91ce119a63400ade7c58080ff0580ffff0bffff0102ff0bffff05ffff05ffff01ffffa04bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459aa09dcf97a184f32623d11a73124ceb99a5709b083721e878a16d78f596718ba7b2ffa102a12871fee210fb8619291eaea194581cbd2531e4b23759d225f6806923f63222a102a8d5dd63fba471ebcb1f3e8f7c1e1879b7152a6e7298a91ce119a63400ade7c580808080ffff02ffff03ff05ffff01ff0bffff06ffff06ffff01ffffa04bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459aa09dcf97a184f32623d11a73124ceb99a5709b083721e878a16d78f596718ba7b2ffa102a12871fee210fb8619291eaea194581cbd2531e4b23759d225f6806923f63222a102a8d5dd63fba471ebcb1f3e8f7c1e1879b7152a6e7298a91ce119a63400ade7c58080ffff02ff18ffff04ff02ffff04ff09ffff04ffff02ff14ffff04ff02ffff04ff0dff80808080ff808080808080ffff01ff06ffff05ffff01ffffa04bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459aa09dcf97a184f32623d11a73124ceb99a5709b083721e878a16d78f596718ba7b2ffa102a12871fee210fb8619291eaea194581cbd2531e4b23759d225f6806923f63222a102a8d5dd63fba471ebcb1f3e8f7c1e1879b7152a6e7298a91ce119a63400ade7c5808080ff0180ffff0bffff05ffff06ffff01ffffa04bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459aa09dcf97a184f32623d11a73124ceb99a5709b083721e878a16d78f596718ba7b2ffa102a12871fee210fb8619291eaea194581cbd2531e4b23759d225f6806923f63222a102a8d5dd63fba471ebcb1f3e8f7c1e1879b7152a6e7298a91ce119a63400ade7c58080ffff02ff18ffff04ff02ffff04ff05ffff04ffff02ff14ffff04ff02ffff04ff07ff80808080ff808080808080ff09ffff0dff0580ffff012080ffffff02ffff03ffff22ffff02ff3cffff04ff02ffff04ff05ff80808080ffff02ff3cffff04ff02ffff04ff0bff80808080ffff15ff17ffff0181ff8080ffff01ff0bff05ff0bff1780ffff01ff08ffff018e6e6f74206120636f696e2069643aff05ff0bff178080ff0180ffff02ff12ffff04ff02ffff04ff0bffff04ffff02ff2cffff04ff02ffff04ff05ffff04ffff02ff10ffff04ff02ffff04ff05ff80808080ffff04ffff02ff10ffff04ff02ffff04ff17ff80808080ffff04ffff02ff10ffff04ff02ffff04ff5fff80808080ffff04ff2fffff04ffff02ff10ffff04ff02ffff04ff8200bfff80808080ffff04ffff02ff10ffff04ff02ffff04ff82017fff80808080ffff04ffff02ff10ffff04ff02ffff04ff8202ffff80808080ffff04ffff02ff10ffff04ff02ffff04ff8205ffff80808080ffff04ffff02ff10ffff04ff02ffff04ff820bffff80808080ffff04ffff02ff10ffff04ff02ffff04ff8217ffff80808080ffff04ffff02ff10ffff04ff02ffff04ff822fffff80808080ffff04ff825fffffff04ffff02ff10ffff04ff02ffff04ff8300bfffff80808080ff8080808080808080808080808080808080ffff04ff83017fffff808080808080ff02ff16ffff04ff02ffff04ff03ffff04ffff15ff80ff1780ff8080808080ffff02ff2effff04ff02ffff04ff03ffff04ffff02ffff03ff0bffff01ff0178ffff01ff016980ff0180ffff04ffff02ffff03ff0bffff012dffff015d80ff0180ff808080808080ffff04ffff04ffff0101ffff04ff11ffff04ffff0156ffff04ff0bffff04ff29ffff04ff17ffff04ff8202f9ff8080808080808080ffff04ffff04ffff013dffff04ffff0bff11ffff0156ff0bff29ff17ff8202f980ff808080ffff04ffff04ffff013cffff04ffff0effff0142ff0bff11ff17ff8202f980ff808080ff80808080ff02ff3affff04ff02ffff04ffff02ff2affff04ff02ffff04ff05ffff04ff0bffff04ff17ffff04ff2fffff04ff5fffff04ff82017fffff04ff8200bfffff04ff8202ffffff04ff830bffffffff04ff8205ffffff04ff820bffffff04ff8217ffffff04ff822fffffff04ff825fffffff04ff8205ffff808080808080808080808080808080808080ffff04ff83017fffffff04ff8305ffffffff04ff8302ffffffff04ff8317ffffffff04ff2fff808080808080808080ff018080ffff04ffff01a0d0afe6a5f1f15dcb062b3cbef8be8dc80308345c630f126cd2f8c4e795b741feffff04ffff01a0e24c8578ea10dbf05200336ebaf73d80fab696ac4441eafa626b4a8910af8e1bffff04ffff01a037bef360ee858133b69d595a906dc45d01af50379dad515eb9518abb7c1d2a7affff04ffff0180ff018080808080","txch1kwh2pxzz3v44um2heual7mhg9cu4phkr8zchmakcacsfg3u8mm6s63zpf3","BYC03","Testnet Bytecash","Testnet version of Bytecash (CircuitDAO)",3,"['https://icons-testnet.dexie.space/4eadfa450c19fa51df65eb7fbf5b61077ec80ec799a7652bb187b705bff19a90.webp']","a7e8a83dab8c205ab819c4bcd11854fdccea1207f8e14f55b9aacdb5cee919b0"
"4eadfa450c19fa51df65eb7fbf5b61077ec80ec799a7652bb187b705bff19a90","ff02ffff01ff02ffff01ff02ffff03ffff21ffff09ff5fff8080ffff15ff80ff5f8080ffff01ff02ff7effff04ff02ffff04ff03ffff04ffff02ff3affff04ff02ffff04ffff04ff05ffff04ff822f7fff808080ffff04ff0dff8080808080ffff04ffff02ffff03ffff09ffff0dff82027f80ff2e80ffff01ff02ffff03ffff09ffff0dffff0bff8200a4ffff02ff34ffff04ff02ffff04ff82057fffff04ff820b7fff80808080808080ff2e80ffff01ff02ffff03ffff15ff82177fffff0181ff80ffff01ff0bff82027fffff0bff8200a4ffff02ff34ffff04ff02ffff04ff82057fffff04ff820b7fff808080808080ff82177f80ffff01ff088080ff0180ffff01ff088080ff0180ffff01ff088080ff0180ff808080808080ffff01ff088080ff0180ffff04ffff01ffffffff3f43ff4902ffffffffa04bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459aa09dcf97a184f32623d11a73124ceb99a5709b083721e878a16d78f596718ba7b2ffa102a12871fee210fb8619291eaea194581cbd2531e4b23759d225f6806923f63222a102a8d5dd63fba471ebcb1f3e8f7c1e1879b7152a6e7298a91ce119a63400ade7c5ff0bff38ffff0bff38ff8200c4ff0580ffff0bff38ff0bff8200848080ffff02ffff03ff05ffff01ff0bff8200e4ffff02ff34ffff04ff02ffff04ff09ffff04ffff02ff2cffff04ff02ffff04ff0dff80808080ff808080808080ffff018200c480ff0180ff0bff8200a4ffff02ff34ffff04ff02ffff04ff05ffff04ffff02ff2cffff04ff02ffff04ff07ff80808080ff808080808080ffffff4381fdff73ff02ff3cffff04ff02ffff04ff11ffff04ffff02ffff03ffff07ff0b80ffff01ff02ff5effff04ff02ffff04ff09ff80808080ffff010b80ff0180ffff04ff15ff808080808080ffff0102ff20ffff02ffff03ffff07ff0580ffff01ff0bff38ffff02ff5effff04ff02ffff04ff09ff80808080ffff02ff5effff04ff02ffff04ff0dff8080808080ffff01ff0bff26ff058080ff0180ff02ffff03ffff09ffff0dff8216fd80ff2e80ffff01ff02ffff03ffff09ff820afdff83013efd80ffff01ff02ffff03ffff21ffff22ff2dffff09ff8302fefdffff10ff83017efdff8200bd808080ffff22ffff20ff2d80ffff09ff80ff8200bd808080ffff01ff04ffff04ff28ffff04ff83017efdff808080ffff04ffff04ff30ffff04ffff013fffff04ffff0eff22ffff02ff5effff04ff02ffff04ffff04ffff02ffff03ffff15ff80ff8200bd80ffff01ff0178ffff01ff016980ff0180ffff04ffff02ffff03ffff15ff80ff8200bd80ffff018200bdffff018302fefd80ff0180ff098080ff8080808080ffff04ff17ff8080808080ffff04ffff04ff20ffff04ffff0bff0bff22ffff02ff5effff04ff02ffff04ffff04ff2affff04ff32ffff02ff5effff04ff02ffff04ff8300befdff808080808080ff8080808080ff808080ff80808080ffff01ff088080ff0180ffff01ff088080ff0180ffff01ff088080ff0180ff018080ffff04ffff01ffa07faa3253bfddd1e0decb0906b2dc6247bbc4cf608f58345d173adb63e8b47c9fffa0de9b301ff287a212187f6068e181926fe5ea4423d14c1e7f6790c1c34e32c68ba0eff07522495060c066f66f32acc2a77e3a3e737aca8baea4d1a64ea4cdc13da9ff018080","txch1kwh2pxzz3v44um2heual7mhg9cu4phkr8zchmakcacsfg3u8mm6s63zpf3","BYC04","Testnet Bytecash","Testnet version of Bytecash (CircuitDAO)",3,"['https://icons-testnet.dexie.space/4eadfa450c19fa51df65eb7fbf5b61077ec80ec799a7652bb187b705bff19a90.webp']","a7e8a83dab8c205ab819c4bcd11854fdccea1207f8e14f55b9aacdb5cee919b0"
